Age,Height_cm,Weight_kg,BMI,Sport_Type,Level,Goal,Training_Days_Per_Week,Years_Training,Has_Injury_History,Endurance_Score,Strength_Score,Speed_Score,Flexibility_Score,Explosiveness_Score,Recovery_Score,Recommended_Program_ID
24,167,60,21.5,Track & Field,Advanced,Muscle_Gain,7,6.9,0,8,6,10,8,9,8,PRG_TF_THROWS_JUMPS_POWER
27,170,77,26.6,Swimming,Intermediate,Endurance,4,2.6,0,7,6,10,8,6,7,PRG_SW_DISTANCE_ELITE
15,184,78,23.0,Swimming,Intermediate,Endurance,3,4.9,0,8,6,5,5,5,8,PRG_SW_DISTANCE_ELITE
26,176,82,26.5,MMA,Intermediate,Endurance,4,3.1,0,5,8,7,3,7,7,PRG_MMA_SPEED_AGILITY
15,176,56,18.1,Boxing,Beginner,Strength,2,1.4,0,7,3,5,6,3,10,PRG_BOX_FOUNDATIONS
35,179,64,20.0,Tennis,Advanced,Agility,6,8.0,0,10,5,8,8,5,7,PRG_TN_FOOTWORK_ELITE
32,165,62,22.8,General Fitness,Intermediate,Agility,4,3.7,0,7,3,7,5,4,7,PRG_FIT_BALANCED_WELLNESS
16,178,65,20.5,Tennis,Intermediate,Speed,4,1.7,0,7,5,4,6,5,7,PRG_TN_COMPETITION_READINESS
23,171,54,18.5,Track & Field,Beginner,Speed,2,0.1,0,4,3,6,6,3,9,PRG_TF_RUNNING_MECHANICS
35,168,83,29.4,MMA,Advanced,Endurance,4,7.9,0,10,10,6,8,7,8,PRG_MMA_PEAK_PERFORMANCE
22,184,78,23.0,Tennis,Intermediate,Speed,3,2.9,1,8,6,3,7,7,7,PRG_TN_SHOULDER_ELBOW_PREHAB
25,167,70,25.1,Track & Field,Advanced,Endurance,5,8.6,0,10,8,9,6,9,7,PRG_TF_DISTANCE_ELITE
36,177,97,31.0,General Fitness,Beginner,Speed,2,0.6,0,1,2,4,7,3,7,PRG_FIT_FAT_LOSS_HIIT
38,169,59,20.7,General Fitness,Beginner,Strength,3,0.5,0,9,4,2,4,3,8,PRG_FIT_POWERLIFTING
15,183,84,25.1,Football,Advanced,Muscle_Gain,5,6.8,0,7,7,8,6,6,6,PRG_FB_STRENGTH_STAMINA
15,180,63,19.4,Tennis,Intermediate,Agility,4,2.1,0,8,7,4,5,7,8,PRG_TN_COURT_MOVEMENT
18,172,71,24.0,Boxing,Intermediate,Strength,3,3.6,0,6,5,6,5,7,6,PRG_BOX_STRENGTH_FOUNDATION
33,166,81,29.4,General Fitness,Intermediate,Endurance,6,5.7,0,6,6,7,4,5,4,PRG_FIT_CARDIO_ENDURANCE
30,165,61,22.4,Track & Field,Beginner,Agility,2,1.0,0,6,7,5,5,4,7,PRG_TF_RUNNING_MECHANICS
20,179,67,20.9,Track & Field,Beginner,Strength,2,0.7,0,5,2,8,2,4,9,PRG_TF_RUNNING_MECHANICS
22,186,70,20.2,Track & Field,Beginner,Speed,3,1.5,0,6,6,7,6,8,8,PRG_TF_RUNNING_MECHANICS
20,181,93,28.4,Football,Advanced,Speed,5,7.2,0,6,8,10,8,9,8,PRG_FB_SPRINT_MECHANICS
15,191,80,21.9,Swimming,Advanced,Endurance,6,6.3,0,10,7,10,10,6,6,PRG_SW_DISTANCE_ELITE
29,180,82,25.3,Tennis,Advanced,Weight_Loss,6,6.6,0,9,7,8,9,6,8,PRG_TN_COMPETITION_READINESS
16,192,90,24.4,Football,Intermediate,Strength,4,3.6,0,6,6,5,3,7,9,PRG_FB_STRENGTH_STAMINA
26,188,66,18.7,Tennis,Advanced,Muscle_Gain,3,8.9,0,8,7,7,8,9,8,PRG_TN_POWER_GENERATION
17,180,50,15.4,Swimming,Beginner,Endurance,2,2.4,0,6,4,5,7,3,8,PRG_SW_TECHNIQUE_AND_BASE
19,174,74,24.4,Boxing,Intermediate,Muscle_Gain,6,2.5,0,3,5,5,6,7,9,PRG_BOX_GENERAL_COMBAT_FITNESS
16,172,72,24.3,Boxing,Beginner,Speed,3,1.7,1,5,3,5,6,4,9,PRG_BOX_FOUNDATIONS
21,181,91,27.8,Football,Intermediate,Strength,4,3.8,0,5,7,7,5,9,8,PRG_FB_LINEMAN_POWER
15,176,64,20.7,Swimming,Advanced,Strength,4,6.0,0,9,7,7,10,7,9,PRG_SW_RACE_CONDITIONING
19,197,79,20.4,Basketball,Intermediate,Muscle_Gain,5,5.1,0,8,3,5,2,6,8,PRG_BB_COMPLETE_ATHLETE
23,191,76,20.8,Tennis,Intermediate,Agility,4,3.3,0,9,3,8,7,4,8,PRG_TN_FOOTWORK_ELITE
15,177,56,17.9,Track & Field,Beginner,Agility,3,0.5,0,5,3,5,4,3,8,PRG_TF_RUNNING_MECHANICS
19,174,62,20.5,MMA,Beginner,Endurance,2,0.9,1,7,5,3,5,5,8,PRG_MMA_BEGINNER_BASE
22,190,98,27.1,Basketball,Intermediate,Strength,4,3.9,0,6,4,5,6,5,6,PRG_BB_POST_PLAYER_STRENGTH
18,172,76,25.7,MMA,Intermediate,Strength,2,5.1,0,4,7,8,8,9,7,PRG_MMA_SPEED_AGILITY
17,197,62,16.0,Basketball,Intermediate,Muscle_Gain,4,3.7,0,6,5,6,5,5,7,PRG_BB_COMPLETE_ATHLETE
22,174,71,23.5,Track & Field,Advanced,Strength,5,8.0,0,10,9,10,6,9,7,PRG_TF_THROWS_JUMPS_POWER
32,163,73,27.5,Boxing,Intermediate,Weight_Loss,4,2.0,0,5,5,8,5,8,6,PRG_BOX_CARDIO_BASE
35,171,64,21.9,Boxing,Beginner,Speed,3,1.3,0,6,6,5,5,5,8,PRG_BOX_FOUNDATIONS
24,188,94,26.6,Football,Beginner,Endurance,1,1.2,0,4,7,4,1,7,8,PRG_FB_ATHLETIC_DEVELOPMENT
15,170,53,18.3,Track & Field,Intermediate,Endurance,4,3.8,0,5,7,9,9,7,9,PRG_TF_AEROBIC_BASE
26,179,89,27.8,Football,Intermediate,Speed,4,3.9,0,5,6,6,6,8,6,PRG_FB_SPRINT_MECHANICS
